ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Dt_Customer_new,Age,Children,Top_Spent,Total_Spent,Total_Purchases,Preferred_Channel,Total_Visits,Visit_Purchase_Ratio,Cluster,Visit_Purchase_Ratio_log,Visit_Purchase_Ratio_capped,Visit_Purchase_Ratio_Capped
5524,1957,2,4,58138.0,0,0,80,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2012-09-04,68,0,MntWines,1617,22,NumCatalogPurchases,7,0.31818167355378474,2,0.2762532669103337,0.31818167355378474,0.31818167355378474
2174,1954,2,4,46344.0,1,1,157,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2014-03-08,71,2,MntWines,27,4,NumStorePurchases,5,1.2499968750078125,1,0.8109288273299476,1.2499968750078125,1.2499968750078125
4141,1965,2,5,71613.0,0,0,444,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,2013-08-21,60,0,MntWines,776,20,NumStorePurchases,4,0.19999990000005,2,0.1823214734606595,0.19999990000005,0.19999990000005
6182,1984,2,5,26646.0,1,0,199,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014-02-10,41,1,MntMeatProducts,53,6,NumStorePurchases,6,0.9999983333361112,0,0.6931463472276537,0.9999983333361112,0.9999983333361112
5324,1981,4,3,58293.0,1,0,390,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,2014-01-19,44,1,MntWines,422,14,NumStorePurchases,5,0.35714260204099857,0,0.30538146158137364,0.35714260204099857,0.35714260204099857
7446,1967,3,5,62513.0,0,1,189,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,2013-09-09,58,1,MntWines,716,20,NumStorePurchases,6,0.299999850000075,1,0.2623641490829267,0.299999850000075,0.299999850000075
965,1971,2,2,55635.0,0,1,280,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2012-11-13,54,1,MntWines,590,17,NumWebPurchases,6,0.3529409688582536,0,0.30228071842032667,0.3529409688582536,0.3529409688582536
6177,1985,4,3,33454.0,1,0,160,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,2013-05-08,40,1,MntWines,169,8,NumWebPurchases,8,0.9999987500015626,0,0.6931465555605313,0.9999987500015626,0.9999987500015626
4855,1974,4,5,30351.0,1,0,119,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,2013-06-06,51,1,MntMeatProducts,46,5,NumWebPurchases,9,1.7999964000072002,0,1.0296181314686175,1.7999964000072002,1.7999964000072002
5899,1950,4,5,5648.0,1,1,267,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2014-03-13,75,2,MntWines,49,1,NumWebPurchases,20,19.99980000199998,1,3.0445129139637856,19.99980000199998,19.99980000199998
